site-specific conditions including space		none_parsed
situation already in flux." The American Electronic	The American Electronic	parsed
situation TURN	TURN	parsed
situations where a driver is involved in an accident resulting in either		none_parsed
six, AB 1756 will increase public safety and reduce recidivism		none_parsed
sixteen-year-old old Brian Banks was charged with forcible rape		none_parsed
Sixty-two other cities	Sixty-two other cities	parsed
size and services required of the public school system		none_parsed
size fits all' budget planning process on every state agency and function -- even functions that aren't actually managed by the state		none_parsed
Size of organization would depend on the number of		none_parsed
size reduction (CSR) operational grant funding, in		none_parsed
size reduction for up to two years		none_parsed
skills exam has not been demonstrated, that clinical skills competency is		none_parsed
skills to treat, mental, emotional and behavioral disorders		none_parsed
Slow Streets have had a negative impact on the quality of life of residents		none_parsed
slowed down by a lack of skilled workers in the appropriate trades. The bill will coordinate the efforts of the Authority, EDD, and the state's	EDD	parsed
Small Business California, the sponsor of the bill, states	Small Business California	parsed
Small Business Council comprised of	Small Business Council	parsed
Small Business Majority's recent opinion polling found an overwhelming majority of 83% of California small business owners	Small Business Majority	parsed
small businesses may be constrained from finding other sources of capital		none_parsed
small companies without the capacity to post the information required		none_parsed
small group of local development projects to delay and expanse. They		none_parsed
small school districts can be provided the critical		none_parsed
Small School Districts' Association: GOVERNOR'S VETO MESSAGE	Small School Districts' Association	parsed
smaller jurisdictions have fewer regulated entities		none_parsed
smaller nonprofits need adequate time to complete and file required tax		none_parsed
smaller salary increase and the state depositing those funds into an		none_parsed
so - to meet local need for decisive action on local economic policy, specifically in Del Norte County. This form of disjointed		none_parsed
so it is our position that we currently should		none_parsed
so long as they receive any 'benefit' from it. The politically		none_parsed
So long as workers are willing to endure widespread wage theft and unsafe working conditions, these employers don't ask about immigration		none_parsed
so minor that it causes no injury is unlikely to produce such an		none_parsed
so readily available to the public today		none_parsed
so site-specific refinery configurations can be taken into account		none_parsed
so that it may once again provide meaningful		none_parsed
so that they can better understand and meet the educational		none_parsed
so veterans should have the freedom to choose		none_parsed
so, it is unrealistic to think that the Board would be able		none_parsed
so, what impact does this have upon the public policy		none_parsed
Sober (Lowenthal) continued		none_parsed
social and developmental skills in order to enhance		none_parsed
Social housing is publicly backed mixed-income housing that has already shown its effectiveness in the parts of the United		none_parsed
social networking Web site," (such as MySpace	MySpace	parsed
social promotion from either performance on the STAR		none_parsed
social security card. Violation is punishable by up to 1		none_parsed
social services caseload increases and any remaining funds may		none_parsed
social work professionals into these positions, and therefore must be		none_parsed
social work professionals to work alongside other professionals with		none_parsed
social workers do not possess the requisite training and schooling to treat physical illness and that the appropriate		none_parsed
social workers possess the education, training or		none_parsed
Society of Nuclear Medicine to allow licensed radiologic technologists and nuclear medicine technologists to perform CT scans and PET scans on dual mode equipment	Society of Nuclear Medicine	parsed
Society, California Nurses Association, Clean	California Nurses Association	parsed
Society, Sierra Club, Vote the Coast	Sierra Club, Vote the Coast	parsed
society, we also		none_parsed
socio-economic status or gender		none_parsed
Soft Drink Association voices similar concerns, and	Soft Drink Association	parsed
Software-based programs for the AMA Guides now exist and are being used in other		none_parsed
solar and distributed generation technologies, this		none_parsed
solar, the evaluation did not include wind		none_parsed
sold as new, as specified		none_parsed
sold has ever accidentally bred, and if so how many of those offspring		none_parsed
sold in California meets the minimum standard of 60% minimum value		none_parsed
solely on the basis that savings will result from lower contractor pay		none_parsed
solicitation or general advertising. They		none_parsed
solicited by pirate limousine operators and who are unwittingly exposed		none_parsed
solicits or does business with the SCIF staff or with the board should not	SCIF	parsed
Solo Opera writes	Solo Opera	parsed
solution for protecting patients. As outpatient surgeries continue to		none_parsed
solution is inappropriate		none_parsed
solution, they		none_parsed
solutions for health care reform are implemented to reduce		none_parsed
solutions that truly address the drinking water problems that		none_parsed
solve existing gaps in workforce capacity by providing FQHCs and RHCs with		none_parsed
solvents have been subjected to more than sufficient		none_parsed
some are likely to		none_parsed
some broadband internet service provider industry associations including USTelecom and CalBroadband who	USTelecom and CalBroadband	parsed
some changes to existing specifications for diesel and biodiesel blends are ill-advised		none_parsed
some cities	some cities	parsed
Some city police officers have filed overtime	some city police officers	parsed
Some contractors	some contractors	parsed
Some examinations by proponents of failed petitions have resulted in millions of taxpayer dollars being expended		none_parsed
Some expressed concern during policy committee hearing, however, that it		none_parsed
Some have been waiting for their		none_parsed
some health plans and the California Chamber of Commerce	California Chamber of Commerce	parsed
Some individual bail agents also	some individual bail agents	parsed
some industry groups	some industry groups	parsed
Some insurers and some small business groups	some insurers and some small business groups	parsed
some labor groups	some labor groups	parsed
some local agencies acting as LIAs	some local agencies acting as LIAs	parsed
some of its licensure authority to the hospitals, because any hospital		none_parsed
some of the qualified cities that could participate in the pilot program		none_parsed
Some of these reports indicated that they were utilizing public water systems		none_parsed
some positions		none_parsed
Some RCFE facility operators	some RCFE facility operators	parsed
some real-time benefit solutions also give insight as to a patient's cash price options outside of their benefit design at the patients preferred pharmacy		none_parsed
some short-term savings for patients, the long-term effects on		none_parsed
some type of reciprocity agreement, a majority of the money		none_parsed
somebody's pet dog. They were bought as a young pup, raised, but were		none_parsed
someone is just flying a kite. Despite this relatively low bar, SB 492		none_parsed
someone they knew		none_parsed
something they have virtually no control over		none_parsed
songs or more (the equivalent of 100 legitimate records) for as low as		none_parsed
Sonoma SB 1807 (Chesbro) County DA	Sonoma County DA	parsed
sophisticated business entities		none_parsed
SOS also	SOS	parsed
SOS and supported by the California Association of Clerks and Elections Officials	California Association of Clerks and Elections Officials	parsed
SOS Committee of the California School for the Deaf at	California School for the Deaf	parsed
SOS further	SOS	parsed
sought so-called 'single-signature' license suspension authority, as AB 409 now proposes for the Board of Barbering and Cosmetology	Board of Barbering and Cosmetology	parsed
sound economic analysis		none_parsed
sounds are recorded or otherwise stored, including, any phonograph		none_parsed
source of income cannot be anticipated until there is certainty about when		none_parsed
source of information regarding a foster child's welfare and current needs		none_parsed
Sources, National Electrical Manufacturers	National Electrical Manufacturers	parsed
Southern California Regional Liability Excess Superintendent of Public Los Angeles	Southern California Regional Liability Excess	parsed
Southwest Voter Registration Education Project (The sponsors, California Clean Money Campaign, have also submitted petitions in support of SB 52 signed by 5,000 individuals.)	Southwest Voter Registration Education Project	parsed
space becomes available in a state mental facility. This is not in the best interest of the inmates, nor the jails		none_parsed
SPB cites the approximately 1,500 personal services contracts presently in use by UC and	SPB	parsed
special district on each parcel, residential as well as commercial, rather than on the assessed value of property located within the local		none_parsed
special districts strongly	special districts	parsed
Special Education, SB 1686 is critical to the smooth operation		none_parsed
special fund employees will aggravate shortfalls the currently exist in		none_parsed
special funds) of an unknown but significant amount to transfer moneys into the Fund		none_parsed
special projects. It is a slippery slope when the cost is borne by		none_parsed
special remedies that apply only to emergency physicians and hospital emergency departments. Finally, the association	the association	parsed
specialists and curriculum supervisors who directly affect		none_parsed
specialists for their injuries		none_parsed
specialized training to operate safely		none_parsed
specially qualified person in a rural setting into the untenable position		none_parsed
specialty as the physician and surgeon (Section 725 (d)		none_parsed
specialty hospitals will unavoidably result in the closure of hospitals and services		none_parsed
specialty" requirement is harmful, and		none_parsed
species that depend on them		none_parsed
specific abuse tactic. It is especially common when the victim has left		none_parsed
specific discipline at that time, it is not required by Section 3304(d)		none_parsed
specific educational or testing requirements		none_parsed
specific employment laws. During this challenging economic period, I am		none_parsed
specific examples of using protective equipment or		none_parsed
specific information with regard to the educational programs to be provided		none_parsed
specific needs. For example, a jurisdiction that is able to easily place		none_parsed
specific policy. Since nothing under current law		none_parsed
specific purpose other than education, the credit does not affect		none_parsed
specific responsibilities for coordination with local, state and national		none_parsed
Specific to the school ventilation program, DOF	DOF	parsed
specific vehicle		none_parsed
specifically addresses this by instructing the jury that "The defendant		none_parsed
specifically authorizes the DOJ additional time to complete the background check, if needed	DOJ	parsed
specifically by air ambulance representatives is disproportionate to	air ambulance representatives	parsed
specifically listed in the bill (see Author's Amendment A, below). The second amendment would delete the requirement		none_parsed
specifically named organizations. While it may be appropriate		none_parsed
specifically oppose efforts to restrict this popular practice		none_parsed
specifically requires the commission's rulemaking to protect		none_parsed
specifically to reach women through outreach, education and advocacy. Opponents	Opponents	parsed
Specifically, ARRT	ARRT	parsed
Specifically, business groups have expressed opposition to the automatic	business groups	parsed
Specifically, CAA	CAA	parsed
Specifically, California Families for Access to Midwives	California Families for Access to Midwives	parsed
Specifically, CNA	CNA	parsed
Specifically, CNO states: "Emergency antiseizure medications require an	CNO	parsed
Specifically, CTA makes the following arguments as to why it is opposed	CTA	parsed
Specifically, if it is indicated that by a preponderance of the evidence, at least one juror would not have convicted the petitioner, the		none_parsed
Specifically, in allocating the costs responsibility surcharge (CRS) associated with DWR's power procurement costs resulting	DWR	parsed
Specifically, it appears that the proposed language is		none_parsed
Specifically, it states if this measure were to pass "more charter		none_parsed
Specifically, SCE	SCE	parsed
Specifically, the ACLU	ACLU	parsed
Specifically, the AMTA	AMTA	parsed
Specifically, the Auditor	Auditor	parsed
Specifically, the BSA has historically asserted that "homosexual	BSA	parsed
Specifically, the California Association of School Business Officials (CASBO) states, "AB 1575 would expand the annual audit process to include	California Association of School Business Officials	parsed
Specifically, the Center for Auto Safety	Center for Auto Safety	parsed
Specifically, the court was asked to decide whether the statute violated		none_parsed
Specifically, the opinion indicated that these companies may be compelled to pay attorney fees for litigating parties in cases where genuinely disputed		none_parsed
Specifically, The Utility Reform Network	The Utility Reform Network	parsed
Specifically, these organizations cite language in the bill prohibiting	these organizations	parsed
Specifically, these organizations state in a coalition letter, "The term 'medical' care could be liberally interpreted to include such	these organizations	parsed
Specifically, these organizations state in a coalition letter, "The term 'medical' care is undefined and therefore could be liberally	these organizations	parsed
specified a pupil density ratio no higher than one pupil per		none_parsed
specified amount of time is unnecessary and duplicative		none_parsed
specified employment, licensing, or volunteer status. These would be		none_parsed
specified findings. (Penal Code Section 629.52.) These findings include		none_parsed
specified health care provider groups		none_parsed
specified in contracts with plan affiliates unless the provision		none_parsed
specified in statute to zero as proposed in the May		none_parsed
