fragment	extracted_org	status
of landing a better position could also be punished for their experience		none_parsed
of law enforcement agencies to constantly know the location of inmates		none_parsed
of law to achieve the authors stated goal of helping the elderly when they		none_parsed
of leveraging local funds with state dollars to finance affordable		none_parsed
of LGBTQI+ children who want mental health		none_parsed
of long guns for the same reasons that we opposed the open carrying of handguns. We continue to		none_parsed
of mandated reporters, which includes various physicians and mental		none_parsed
of manufacturers and for a variety of reasons...It is simply unfair to expect		none_parsed
of medical expenditures to insurance		none_parsed
of mind and public safety planning		none_parsed
of miscellaneous employees. They indicate that current law practices		none_parsed
of Mission Indians, Table Bluff Reservation	Table Bluff Reservation	parsed
of Mission, San Jose, CA		none_parsed
of more penalty enhancements may be premature in light of the pending AB		none_parsed
of Morgan Hill		none_parsed
of most injured public safety officers, when the need arises to discuss		none_parsed
of Mountain View, ALZA Corp	ALZA Corp	parsed
of MSDSs are provided to DOSH	DOSH	parsed
of Northern California		none_parsed
of Nursing Directors	Nursing Directors	parsed
of opponents		none_parsed
of opponents remains the same		none_parsed
of other surplus state properties also are also restricted. For example, if the property was purchased with federal funds, the money has to be		none_parsed
of other types of inspections like those required for the installation of a mobilehome. Additionally, HCD states in their	HCD	parsed
"of our behind-the-chair professionals won't see any of the benefits of this legislation)."" The Professional Beauty Federation of California further"	Professional Beauty Federation of California	parsed
of our Bill of Rights		none_parsed
of owners with animals safely contained by vehicles and inappropriate removal or even release?. For years, this		none_parsed
of Palo Alto		none_parsed
of Palos Verdes Estates		none_parsed
"of parks over the current seven year period."" HCD would not be"	HCD	parsed
of Part 3 of the Penal Code, has been granted clemency or a pardon		none_parsed
of paying people not to contact regulatory agencies is		none_parsed
of payment for care which is not medically necessary		none_parsed
of persons who are not gang members and that civil injunctions can lead		none_parsed
of Pesticides, Guayaki Sustainable Rainforest	Guayaki Sustainable Rainforest	parsed
of Physical Therapy currently available		none_parsed
of Placer County, Inc		none_parsed
of pocket expense is $62.70. The charity has received $100. At higher		none_parsed
of practice only for psychologists and psychiatrists, the two		none_parsed
of priority for the use of the MBC resources, and the five listed		none_parsed
of private piers. Moreover, these land owners claim it is unfair for SLC	SLC	parsed
of probation for persons convicted of animal cruelty. In some		none_parsed
of probation is that the person not drive a vehicle with any alcohol in		none_parsed
of programs they want to administer to most effectively meet		none_parsed
of prominent California businesses	prominent California businesses	parsed
of prostitution, and use of a minor to perform specified sex acts		none_parsed
of psychologists	psychologists	parsed
of Public Health, Bureau of Environmental Health Management (Sponsors)	Bureau of Environmental Health Management	parsed
of public oversight, private sector initiatives, and the natural forces of marketplace competition. Proponents		none_parsed
"of quality ""is the politically most volatile and analytically the least valid use of the statistic. The medical loss ratio is a ratio"		none_parsed
of quality and affordability, which is undermined by including		none_parsed
of Radiation Oncology		none_parsed
of Rancho Cordova		none_parsed
of Rancho Santa Margarita. The population of Coto de Caza was		none_parsed
of Realtors and Managers Association	Realtors and Managers Association	parsed
of receipt of a Fidelity Corporation Certificate	Fidelity Corporation	parsed
"of recording or obtaining certifies copies"" and assessing them is, therefore, ""not good public policy"		none_parsed
of reducing offers from multiple insurers to		none_parsed
of regulatory oversight, and that physicians continually	physicians	parsed
of reimbursing the General Fund, overall net educational donations		none_parsed
of relieving traffic congestion and improving air quality		none_parsed
of retention. This may lead to increasingly varying		none_parsed
of retiring and leaving the students without their services, or forsaking retirement		none_parsed
of revenue that could be diverted. It also allows a local agency to		none_parsed
of risk factors and proper use of preexisting medical conditions		none_parsed
of Riverside County		none_parsed
of Riverside County, San Bernardino City Unified School District	San Bernardino City Unified School District	parsed
of robbery as long as the property has some intrinsic value		none_parsed
of safety enhancements of the state's natural gas pipelines		none_parsed
of SB 1036 and the budget agreement reached between the Legislature and the Governor		none_parsed
of SB 112 due to the nature of the CHDP well-child		none_parsed
of SB 159, continues to meet to discuss and resolve issues regarding		none_parsed
of SB 92, the two bills appear to be dealing with		none_parsed
of schools and the remainder among the county, cities and special districts from which the funds were		none_parsed
of Science (BS) in nursing, (b) RN license, and (c) a school nurse		none_parsed
of security in students and parents by reassuring them that		none_parsed
of serious and violent sexual offenses		none_parsed
of service credit consistent with the minimum service credit		none_parsed
of services that can be delivered by CDC medical staff, reduce	CDC	parsed
of several hundred million dollars over the past several years. To		none_parsed
of sick animals will lead to meaningful reductions		none_parsed
of smart growth and improved access to public transit for their low		none_parsed
of Social Services may approve county demonstration	Department of Social Services	parsed
of special education programs		none_parsed
of State government agencies, while reducing the cost		none_parsed
of State, the association identifies several logistical and technical problems with using the AVVPAT for the one percent tally		none_parsed
of storage in operating the grid and the best role for utilities in this regard		none_parsed
of such a claim is based on the determination of a physician who		none_parsed
of such an audit		none_parsed
of such criteria is best left to the discretion of local school boards		none_parsed
of such products		none_parsed
of tax filers reporting an HSA contribution was $139,000. According to		none_parsed
of tax policy, they understand the argument in part, and would suggest		none_parsed
of Taxpayer Advocates, state current law provides a taxpayer is	Taxpayer Advocates	parsed
of tens of millions of dollars -- with little chance of actual		none_parsed
of that product and the estimated length of time that the publisher intends		none_parsed
of the $60 million allocation to the non-operational		none_parsed
of the $8.9 billion in total state contracts to small businesses. Small		none_parsed
of the 10-year protective order to a sexual assault victim if the defendant is convicted and ensures that the victim can get a long-term		none_parsed
of the 1930's (3 letters)		none_parsed
of the 1997-1998 Legislative Session was		none_parsed
of the 2015-2016 legislative session		none_parsed
of the 2021-2022 Legislative Session		none_parsed
of the administration's efforts pursuant to the Executive Order and that		none_parsed
of the after-market for motor vehicle repair and maintenance		none_parsed
"of the Antelope Valley Fairgrounds EE and PV Synergy Demonstration Project (Demonstration Project). PU Code 379.7 subsection (c) requires a ""tariff"	Antelope Valley Fairgrounds EE and PV Synergy Demonstration Project	parsed
of the appropriateness for the individuals to be served		none_parsed
of the bill by about $2 million annually		none_parsed
of the bill that specifies that fully reserved claims should not be part		none_parsed
of the bill that was originally presented to this		none_parsed
of the bill, should be clarified. All goods are locally produced		none_parsed
of the bill, suggests two changes. First, it suggests that		none_parsed
of the bill. As discussed below, a number of amendments have		none_parsed
of the bill. Health Net	Health Net	parsed
of the California Bankers Association. The parties have agreed to	California Bankers Association	parsed
of the cards will eventually be expanded to include all Bay Area transit		none_parsed
of the CDCR for contraband, as specified, which includes cell phones and related devices. SB 1066 recently passed Assembly Public Safety and will	CDCR	parsed
of the claim serves as the basis for the provision of benefits. They		none_parsed
of the current general definition to other cases		none_parsed
of the DPH surcharge. It is unclear if the latest amendments from the author would satisfy these concerns	DPH	parsed
of the evidence that he did not commit the crimes with which he was charged		none_parsed
of the fairgrounds property results in an increase in value, the buyer		none_parsed
of the following: (1) A complete list of all of the products offered for sale by that publisher. (2) For each product listed pursuant to paragraph (I), the wholesale price		none_parsed
of the Fund, but unfortunately, SB 402 does not contain those solutions		none_parsed
of the high-speed rail system has been started or will be operational for		none_parsed
of the human body, including the likelihood of the occurrence		none_parsed
of the initiative and require a two-thirds vote of both houses of the Legislature		none_parsed
of the intent of the Safe Handgun act and put unsafe handguns in the hands of the general public		none_parsed
of the Medi-Cal program, resulting in an increase in physician		none_parsed
of the merits of all bills related to managed care until he		none_parsed
of the more remote WCAB local offices. They	WCAB	parsed
of the mortgage contract in violation of the state and federal constitutions		none_parsed
of the National Association for the Advancement of Colored People stated	National Association for the Advancement of Colored People	parsed
of the opposition's concerns. Some of the groups were opposed to the expansion of NDs' prescribing abilities, which remains in the bill. They		none_parsed
of the patient-employer. Those employed in this noble endeavor, like		none_parsed
of the pilot is due to the Legislature one month before the pilot		none_parsed
of the police to obtain sensitive private records, including		none_parsed
of the pool. SEIU also suggests amendments to increase Medi-Cal	SEIU	parsed
of the problem, which is allowing people with criminal records to		none_parsed
of the program. In addition, I approved an		none_parsed
of the program. This is especially true for applicants and recipients		none_parsed
of the property held, and will result in higher property taxes even when		none_parsed
of the proposal to honor Nisei Japanese American veterans on January 24, 2008		none_parsed
of the provision extending the expenditure deadline for administrative		none_parsed
"of the religion of that church or denomination."" With"		none_parsed
of the Rotavirus vaccine. The committee issued a report on		none_parsed
of the school board that authorized the charter would reflect the interests of the school district's central governing board, not the community from which the charter school sprung		none_parsed
of the school's expenses were for students' books, instructional and office supplies, utilities, insurance, food, and transportation		none_parsed
of the state board to lower percentages as well as increase depending on		none_parsed
of the state Department of Health Services. This	Department of Health Services	parsed
of the State Legislature	State Legislature	parsed
of the state Office of Public School Construction and with local	Office of Public School Construction	parsed
of the state PT postponement program. The proposal would use the money		none_parsed
of the state. Staff suggests the current contract cost		none_parsed
of the surplus formula is consistent with similar laws in the states		none_parsed
of the UCLA Department of Ophthalmology and Director of the Jules Stein	UCLA Department of Ophthalmology	parsed
of the United States		none_parsed
of the United States and California Restaurant Association	California Restaurant Association	parsed
of the various participants in the program through a series of voluntary		none_parsed
of their educational goals. As an example, just a one or two percent		none_parsed
Of these 19 innocent men and women, 18 of them were sentenced to life behind the		none_parsed
of these are either workers or in a family headed by a		none_parsed
of these crimes are entitles to restitution and the perpetrators of high		none_parsed
of these diseases could have on our industry. For these		none_parsed
of these fines. The real impact of higher fines will be to		none_parsed
of these heinous crimes using California agencies in addition to Federal		none_parsed
of these organizations already fund similar programs		none_parsed
of these programs could be achieved through efforts		none_parsed
of these regulations across the state		none_parsed
of this analysis, the provision shifting the FGPF from		none_parsed
of this corps and/or decrease the percentage of full-time faculty in a		none_parsed
of this measure, especially as it relates to non-English speakers and others that may need help in understanding the contents of their		none_parsed
of this property such as open space. Opponents seek amendments		none_parsed
of this proposal and cites the parallels to federal law and the need to		none_parsed
of this state may bring a civil action to enforce this section. Prior to		none_parsed
of thousands of genetic conditions and diseases		none_parsed
"of Trinity County ""would likely prefer to err on the side of caution when"		none_parsed
"of UC's budget is now considerably greater than the state-funded portion, ""it is not reasonable to assume that more than half the core operating"	UC	parsed
of universal service have been met and that eliminating these		none_parsed
of use, potential for fire, explosion, and reactivity, health		none_parsed
"of violating statute is problematic. Specifically, they state: ""The term"		none_parsed
of vital division functions and		none_parsed
of wages on a payroll card by an employee would still be voluntary, AB 51		none_parsed
of weeks of benefits when treatment is disputed acts as a penalty on		none_parsed
of work was performed		none_parsed
of workers to be notified		none_parsed
of young African American men		none_parsed
of young children. There are many approaches to home		none_parsed
of |the City and County of Sacramento |National Lesbian and Gay Law	City and County of Sacramento	parsed
of-state destination and if the incentive were to expire, maritime fuel		none_parsed
off in the state's groundwater		none_parsed
off the books, which diminishes the tax revenue the state collects		none_parsed
off to a healthy start		none_parsed
"offender and receive a life sentence for cockfighting - ""an"		none_parsed
Offender Parole Board required each year from four to	Offender Parole Board	parsed
offender's participation in the program		none_parsed
offenders after serving only 10 years, a clear threat to public safety		none_parsed
"offenders differ from adults. According to Commonweal, ""Based on the available research, juvenile sex offenders are, in general, substantially"	Commonweal	parsed
"offenders differ from adults. Steinhart writes, ""Based on the available"		none_parsed
"offenders have been sentenced to a period of custody time (often referred to as ""straight time,"") with no mandatory supervision to follow. Once"		none_parsed
offenders involves increased exposure to nudity (primarily films), to		none_parsed
Offenders program, the Academic Volunteer and Mentor	Academic Volunteer and Mentor	parsed
offenders. The board is required assess current management practices for		none_parsed
offending parolees must be taken into account as well		none_parsed
offense a misdemeanor		none_parsed
offense in a forgery prosecution. These amendments were added		none_parsed
offense involved a minor ? Since the stated purpose of this		none_parsed
offense is a misdemeanor		none_parsed
offense. That means that sex offenders need jobs and housing in order to		none_parsed
offenses have a seven-year washout, as does Proposition 36, in		none_parsed
offenses to potential employers where the petitioner has proven their		none_parsed
offer bingo for charitable purposes. Countless community-based programs		none_parsed
offer for sale		none_parsed
offer health insurance plans. These businesses might opt for high		none_parsed
offer health insurance to their employees when the employer's		none_parsed
offer little clarity or		none_parsed
offering increased access to patients and savings to the state. As the state looks to manage the cost		none_parsed
offering the sale of new Western Digital External Hard-drives, pre-loaded	Western Digital	parsed
offerings for example, the state and students could benefit from a modest		none_parsed
offers each local agency the flexibility to adjust the purpose and amount		none_parsed
Office , the California Police Chiefs Association and Crime	California Police Chiefs Association	parsed
office has been flooded with complaints that indicate the problems		none_parsed
office has received a number of complaints, raising concerns a growing		none_parsed
office is currently able to prepare titles and summaries without this		none_parsed
Office of Administrative Services anticipates additional workload to provide administrative	Office of Administrative Services	parsed
Office of the District Attorney of Alameda County, echoing arguments raised by the Consumer Federation of California and the California Low-Income Consumer Coalition	Office of the District Attorney of Alameda County	parsed
Office of the Sheriff in Los Angeles County writes	Office of the Sheriff in Los Angeles County	parsed
Office the authority to quickly respond to concerns about mismanagement		none_parsed
office, recent amendments have removed the opposition of the California Association of Sanitation Agencies. The League of California	California Association of Sanitation Agencies	parsed
officer legally purchases an assault weapon for law enforcement purposes		none_parsed
officer of the Board of Barbering and Cosmetology (BBC) to	Board of Barbering and Cosmetology	parsed
officer or member of the public will be killed or seriously injured		none_parsed
officer that discipline would be imposed. The Supreme Court overturned an		none_parsed
officer, a group who as of now has no instruction on sealing		none_parsed
officer. By creating formal processes for witness officers, this measure		none_parsed
Officers Association (CCPOA), in the late 1990's the state agreed to	CCPOA	parsed
"Officers Association, ""CCPOA shares 's goal of helping to reduce inmate healthcare costs while not"	CCPOA	parsed
officers be granted the authority that comes by being reclassified under		none_parsed
officers may not cooperate with federal officials to raid, arrest or		none_parsed
Officers Procedural Bill of Rights Act to nonsworn employees		none_parsed
officers to notify people of their right to vote. Consequently, former		none_parsed
officers, that county employees, including firefighters, already have		none_parsed
officers, when it is people working in hospitals and other health care		none_parsed
officers. CCPOA notes the program was funded by their members taking a	CCPOA	parsed
officers. This has created enhanced danger for probation officers every		none_parsed
offices of education already make them available upon		none_parsed
offices provide service are currently being turned		none_parsed
offices to assist in triple bottom-line investing		none_parsed
official and would make various other technical and conforming changes to the Integrated Waste Management Act		none_parsed
Officials (section 4): Secretary of State (section 4)	Secretary of State	parsed
officials already inspect for pricing accuracy and receive		none_parsed
Officials was opposed to the substantially similar AB 1662 of 2007, citing concerns that use of the special runoff ballot could engender much		none_parsed
officials, and absent a compelling need to impose a statewide		none_parsed
Officials, and the Small School Districts Association, indicate that the 180-day break provision will have disruptive impacts on their members' operations	Small School Districts Association	parsed
often discover they are already making investments		none_parsed
often means that primary care physicians rather than		none_parsed
often more appealing than tax deductions as the taxpayer may take the same credit regardless of income. This is particularly true among		none_parsed
often occur as part of hospital mergers and acquisitions		none_parsed
often refuse to investigate these clinics or make the necessary changes to security and operating procedure, despite some type of evidence. Los Angeles County Board of Supervisors, the sponsor, also	Los Angeles County Board of Supervisors	parsed
often result in development or infrastructure projects that are		none_parsed
Often their distressed family members come to see or		none_parsed
often transferring viable research discoveries to the marketplace that		none_parsed
Oftentimes, the consumer		none_parsed
oil industry who	oil industry	parsed
old from a rural county to obtain a CCW permit and carry a loaded, hidden		none_parsed
older, the practical result of all this will be that prosecutors will		none_parsed
Olive Elementary School, Novato Unified School District, 2015-16 fourth grade class and teachers	Olive Elementary School, Novato Unified School District	parsed
